Month,Parole
1/10/2002,1260
1/11/2002,1282
1/12/2002,1275
1/01/2003,1275
1/02/2003,1289
1/03/2003,1287
1/04/2003,1238
1/05/2003,1267
1/06/2003,1284
1/07/2003,1279
1/08/2003,1263
1/09/2003,1282
1/10/2003,1228
1/11/2003,1233
1/12/2003,1243
1/01/2004,1262
1/02/2004,1245
1/03/2004,1242
1/04/2004,1222
1/05/2004,1216
1/06/2004,1228
1/07/2004,1249
1/08/2004,1249
1/09/2004,1285
1/10/2004,1265
1/11/2004,1295
1/12/2004,1301
1/01/2005,1315
1/02/2005,1302
1/03/2005,1329
1/04/2005,1306
1/05/2005,1326
1/06/2005,1332
1/07/2005,1321
1/08/2005,1338
1/09/2005,1369
1/10/2005,1347
1/11/2005,1337
1/12/2005,1361
1/01/2006,1376
1/02/2006,1366
1/03/2006,1344
1/04/2006,1332
1/05/2006,1322
1/06/2006,1293
1/07/2006,1270
1/08/2006,1253
1/09/2006,1214
1/10/2006,1195
1/11/2006,1193
1/12/2006,1189
1/01/2007,1216
1/02/2007,1220
1/03/2007,1185
1/04/2007,1126
1/05/2007,1107
1/06/2007,1080
1/07/2007,1066
1/08/2007,1082
1/09/2007,1101
1/10/2007,1136
1/11/2007,1198
1/12/2007,1236
1/01/2008,1258
1/02/2008,1293
1/03/2008,1327
1/04/2008,1330
1/05/2008,1332
1/06/2008,1316
1/07/2008,1303
1/08/2008,1312
1/09/2008,1311
1/10/2008,1324
1/11/2008,1344
1/12/2008,1359
1/01/2009,1399
1/02/2009,1427
1/03/2009,1451
1/04/2009,1467
1/05/2009,1374
1/06/2009,1243
1/07/2009,1135
1/08/2009,1043
1/09/2009,977
1/10/2009,903
1/11/2009,855
1/12/2009,797
1/01/2010,747
1/02/2010,719
1/03/2010,674
1/04/2010,620
1/05/2010,593
1/06/2010,579
1/07/2010,557
1/08/2010,552
1/09/2010,519
1/10/2010,510
1/11/2010,518
1/12/2010,513
1/01/2011,506
1/02/2011,478
1/03/2011,480
1/04/2011,467
1/05/2011,466
1/06/2011,452
1/07/2011,458
1/08/2011,433
1/09/2011,412
1/10/2011,406
1/11/2011,402
1/12/2011,381
1/01/2012,383
1/02/2012,401
1/03/2012,387
1/04/2012,387
1/05/2012,384
1/06/2012,400
1/07/2012,420
1/08/2012,414
1/09/2012,451
1/10/2012,454
1/11/2012,466
1/12/2012,462
1/01/2013,447
1/02/2013,460
1/03/2013,501
1/04/2013,487
1/05/2013,500
1/06/2013,500
1/07/2013,531
1/08/2013,552
1/09/2013,560
1/10/2013,569
1/11/2013,579
1/12/2013,580
1/01/2014,580
1/02/2014,565
1/03/2014,568
1/04/2014,562
1/05/2014,548
1/06/2014,531
1/07/2014,531
1/08/2014,505
1/09/2014,503
1/10/2014,517
1/11/2014,525
1/12/2014,526
1/01/2015,529
1/02/2015,562
1/03/2015,597
1/04/2015,610
1/05/2015,632
1/06/2015,645
1/07/2015,656
1/08/2015,648
1/09/2015,659
1/10/2015,637
1/11/2015,653
1/12/2015,652
1/01/2016,669
1/02/2016,690
1/03/2016,703
1/04/2016,694
1/05/2016,692
1/06/2016,680
1/07/2016,697
1/08/2016,714
1/09/2016,723
1/10/2016,745
1/11/2016,756
1/12/2016,766
1/01/2017,807
1/02/2017,804
1/03/2017,767
1/04/2017,771
1/05/2017,767
1/06/2017,780
1/07/2017,803
1/08/2017,813
1/09/2017,816
1/10/2017,825
1/11/2017,862
1/12/2017,857
1/01/2018,868
1/02/2018,847
1/03/2018,854
1/04/2018,860
1/05/2018,886
1/06/2018,928
1/07/2018,946
1/08/2018,974
1/09/2018,978
