Year,CourtLodgementsMC,CourtLodgementsDC,CourtLodgementsSC,CasesOnHandMC,CasesOnHandDC,CasesOnHandSC,TimeToTrialMC,TimeToTrialDC,TimeToTrialSC
2008-09,113160,2312,245,11700,1102,110,19,33,26
2009-10,104022,2337,231,10290,1139,93,22,23,24
2010-11,90865,1988,221,9433,1034,115,19,25,23
2011-12,86303,1972,257,9542,1093,120,19,26,26
2012-13,83912,1991,269,10039,986,125,17,25,28
2013-14,81055,1928,298,10467,1060,172,18,26,30
2014-15,91004,2176,305,12201,1243,156,20,31,33
2015-16,92251,2448,328,14576,1630,171,23,32,36
2016-17,93261,2532,347,14415,1805,219,25,34,33
2017-18,94017,2587,285,14985,1728,170,25,36,32
