DISTRICT,2000-01,2001-02,2002-03,2003-04,2004-05,2005-06,2006-07,2007-08,2008-09,2009-10,2010-11,2011-12,2012-13,2013-14,2014-15,2015-16,2016-17,2017-18
ARMADALE,144287.8664,146599.1677,149263.8607,152176.4281,155079.2333,158540.681,163911.6933,171068.8652,178983.7121,186307.1779,194112.9287,203289.6825,211413.0522,217097.0199,223048.5902,228409.0835,233797.4144,238698.4809
CANNINGTON,173799.3353,175545.4466,176957.8738,178515.3624,179815.1062,181665.4297,186725.2536,192032.5135,197153.8154,200613.4883,205726.968,210105.116,213664.5526,214998.6975,215857.0315,215926.9447,215178.9976,215073.9813
FREMANTLE,217135.0689,219317.9321,220485.77,222257.098,224063.8232,226421.9929,231857.9683,236754.2936,242938.4475,247007.1994,252812.0678,259568.2335,264772.6429,266844.4514,268049.4192,268039.6468,269901.557,272101.9525
GOLDFIELDS-ESPERANCE,54730.77432,54493.19743,54712.55057,54200.00247,53875.82842,53984.04129,54510.67466,55712.44777,56830.18207,57706.19128,58727.94476,59780.7791,60375.6713,59112.15342,57736.33783,55759.57215,55262.2603,54366.66196
GREAT SOUTHERN,76573.2593,76794.57678,77039.2259,76829.13631,77362.87841,77861.75156,77713.78675,78277.96008,79101.11049,79566.72224,80185.53283,81535.25268,82516.08779,82903.78994,82952.25522,82471.13383,82562.67803,82439.4819
JOONDALUP,240716.9497,245245.3332,250871.6987,257384.4784,263486.1066,271491.6771,283039.4171,293991.2048,304985.9784,312773.0413,322458.7205,332413.6446,341039.7844,346277.3033,351179.1476,355694.1886,359515.0272,363728.702
KIMBERLEY,32752.33838,33226.34392,33022.53484,33326.48307,33633.43204,34058.32349,34500.3023,35253.26001,35799.21859,36223.19894,36787.15984,37799.00548,38724.92363,37714.16743,37062.28171,36390.36196,36112.40363,36010.39389
MANDURAH,155743.2266,158512.1877,163425.2887,169093.5495,174847.8197,182232.3035,191266.9883,201365.3881,211014.7844,218628.7716,228378.7311,239192.7885,249404.4556,256941.153,263249.7838,269454.7528,274149.6596,279647.1922
MID WEST-GASCOYNE,59223.70683,59233.55475,59098.63273,58857.66736,59114.93787,59616.95674,59618.15699,60862.81577,62042.23743,62616.65545,63498.56691,64548.78404,65421.82333,65278.62282,64623.56945,63654.36778,62753.81584,61832.52013
MIDLAND,181953.424,184904.8814,187553.4818,190069.4557,193427.8504,196775.4823,202288.0561,207779.0172,213327.4362,217862.9899,222723.3919,230477.6235,237619.1146,242680.4629,246712.1704,250592.3957,253599.5501,257033.6506
MIRRABOOKA,235782.3356,236799.0922,238327.3347,239893.3457,241191.8073,244534.3432,251186.1938,258169.2162,265214.3828,270110.7321,276802.2219,283270.0434,288030.5706,289519.718,290173.3333,289781.6834,289315.7258,289648.9111
PERTH,106547.6536,108205.789,109712.6288,111424.4871,113660.7416,115839.0672,118823.1039,122386.5655,126465.8975,128640.0403,131390.3556,135390.2923,138759.907,140386.9774,141456.946,142104.7088,143179.3809,144275.9747
PILBARA,42478.58016,44044.04143,45972.39581,47792.49498,49665.55369,52008.87974,53720.44458,56248.71484,59178.1114,61539.84093,64478.87256,66398.43484,67839.27016,67195.63885,65936.36621,64463.38973,64315.76321,64591.47988
SOUTH WEST,132915.2708,134102.2165,134955.2782,136880.522,141161.0671,144882.8326,146536.7533,150937.215,155659.8095,159310.6342,162887.7578,168209.2932,172869.6863,175948.9,178145.0085,179185.6477,180497.2201,182019.5223
WHEATBELT,51621.65794,51475.4482,51329.62238,50828.37689,50807.30102,50653.28771,50426.01542,50845.92624,51539.82375,51922.99793,52419.05155,53508.94906,54473.16355,54689.96275,54471.02968,54034.57427,54035.985,53707.51171
