Date,ReportedOffences
1/01/2007,18383
1/02/2007,16073
1/03/2007,17621
1/04/2007,15629
1/05/2007,16212
1/06/2007,15291
1/07/2007,15598
1/08/2007,16223
1/09/2007,16105
1/10/2007,17610
1/11/2007,17349
1/12/2007,17344
1/01/2008,18574
1/02/2008,17354
1/03/2008,17729
1/04/2008,16671
1/05/2008,17621
1/06/2008,17225
1/07/2008,16055
1/08/2008,16183
1/09/2008,16715
1/10/2008,17352
1/11/2008,16451
1/12/2008,15379
1/01/2009,17553
1/02/2009,16287
1/03/2009,17347
1/04/2009,15622
1/05/2009,15860
1/06/2009,15675
1/07/2009,14416
1/08/2009,13858
1/09/2009,13715
1/10/2009,15414
1/11/2009,14455
1/12/2009,14788
1/01/2010,15983
1/02/2010,13669
1/03/2010,15224
1/04/2010,13264
1/05/2010,13511
1/06/2010,12991
1/07/2010,12852
1/08/2010,13372
1/09/2010,14087
1/10/2010,15385
1/11/2010,15338
1/12/2010,14995
1/01/2011,16611
1/02/2011,15143
1/03/2011,16193
1/04/2011,15184
1/05/2011,15826
1/06/2011,15048
1/07/2011,14681
1/08/2011,15199
1/09/2011,15291
1/10/2011,16798
1/11/2011,15497
1/12/2011,16002
1/01/2012,17276
1/02/2012,16232
1/03/2012,16365
1/04/2012,15504
1/05/2012,15702
1/06/2012,14162
1/07/2012,13956
1/08/2012,14849
1/09/2012,15703
1/10/2012,17573
1/11/2012,16766
1/12/2012,17943
1/01/2013,17995
1/02/2013,16506
1/03/2013,16824
1/04/2013,15451
1/05/2013,15455
1/06/2013,14866
1/07/2013,14613
1/08/2013,14785
1/09/2013,14668
1/10/2013,16207
1/11/2013,16555
1/12/2013,16919
1/01/2014,18319
1/02/2014,15523
1/03/2014,17130
1/04/2014,14746
1/05/2014,16052
1/06/2014,15295
1/07/2014,15238
1/08/2014,15389
1/09/2014,15639
1/10/2014,16696
1/11/2014,16337
1/12/2014,16975
1/01/2015,18581
1/02/2015,17057
1/03/2015,18110
1/04/2015,17055
1/05/2015,17502
1/06/2015,18351
1/07/2015,17966
1/08/2015,17993
1/09/2015,17380
1/10/2015,19099
1/11/2015,19329
1/12/2015,19449
1/01/2016,20224
1/02/2016,18954
1/03/2016,18975
1/04/2016,17890
1/05/2016,18367
1/06/2016,17511
1/07/2016,16252
1/08/2016,17135
1/09/2016,17075
1/10/2016,18428
1/11/2016,18982
1/12/2016,18252
1/01/2017,19813
1/02/2017,17218
1/03/2017,17834
1/04/2017,16074
1/05/2017,17113
1/06/2017,16210
1/07/2017,15423
1/08/2017,15858
1/09/2017,15766
1/10/2017,17011
1/11/2017,16686
1/12/2017,17089
1/01/2018,18234
1/02/2018,16822
1/03/2018,17441
1/04/2018,16040
1/05/2018,16183
1/06/2018,16327
1/07/2018,15290
1/08/2018,15890
1/09/2018,15616
1/10/2018,17826
1/11/2018,17134
1/12/2018,17035
1/01/2019,17751
1/02/2019,16107
1/03/2019,17369
