Year,NSW ,Vic,Qld,WA,SA,Tas
2008-09 ,141.4155288,95.35664806,126.1977165,139.1976886,120.8084291,120.4475682
2009-10,138.9075697,96.18591534,119.1347249,168.8178185,118.9519191,113.2049703
2010-11,135.6232409,98.36417563,113.7163236,165.3564324,117.1531931,107.2033246
2011-12,133.3614942,103.213616,117.6583907,164.1829516,124.7973519,113.4473046
2012-13,131.7964094,106.1817288,117.3986484,160.2931964,129.141269,104.2460946
2013-14,137.0115879,116.8557854,130.2785449,157.4692895,138.4188768,104.4097306
2014-15,143.063237,126.2923794,136.9735291,169.4806404,149.7981281,102.2757656
2015-16,158.2489779,122.3846137,140.5758733,186.1389226,163.4019171,111.6583718
2016-17,165.3453636,131.3297244,151.8533986,205.8964349,165.3887999,119.0068678
2017-18,165.1773496,133.3377082,156.737584,213.5075803,167.0376119,123.1425783
